Country,Code,Internet,LifeExpectancy,HealthcareSpending,InfantMortality
New Zealand,NZL,96.1942,81.0061,5653.3613,0.40728575
Nicaragua,NIC,49.1307,74.4626,697.52655,1.0675694
Niger,NER,23.2982,60.3981,79.98706,6.829425
Nigeria,NGA,37.6975,54.079,250.45337,6.162776
North Macedonia,MKD,85.008,76.6455,1777.9335,0.35705906
Norway,NOR,99.0,82.6309,9796.806,0.19263923
Oman,OMN,95.2453,77.9106,1301.1536,0.84714043
Pakistan,PAK,24.2103,67.4167,171.898,5.1762447
Palestine,PSE,88.6469,76.6624,568.70935,1.2329556
Panama,PAN,77.7041,79.3241,3289.2715,1.1079491
Papua New Guinea,PNG,23.7315,65.2736,115.55692,3.30181
Paraguay,PRY,76.2592,72.3185,1264.5056,1.5619584
Peru,PER,74.675,76.834,1006.93396,1.3790326
Philippines,PHL,75.2111,69.4723,522.347,2.2444997
Poland,POL,86.9411,77.9229,2973.962,0.37423757
Portugal,PRT,84.4969,81.1936,4706.4077,0.26059526
Qatar,QAT,99.6528,81.8566,2468.7683,0.49708313
Romania,ROU,85.5031,75.2614,2448.6748,0.537054
Russia,RUS,90.418,72.5174,2873.8032,0.38570127
Rwanda,RWA,31.2252,67.528,183.54257,3.0843654
Saint Kitts and Nevis,KNA,75.5566,70.3131,1762.0437,1.4687439
Saint Lucia,LCA,65.3544,72.6699,1167.7852,1.4447082
Saint Vincent and the Grenadines,VCT,71.7226,71.1906,850.6444,1.028538
Samoa,WSM,57.3288,71.5503,434.07166,1.3113652
San Marino,SMR,85.0607,85.7082,5430.2173,0.1413644
Sao Tome and Principe,STP,61.5535,69.2368,348.5122,0.981549
Saudi Arabia,SAU,100.0,77.3098,3264.9531,0.5070556
Senegal,SEN,59.2246,67.7884,183.65121,3.1430256
Serbia,SRB,83.5383,75.4778,2208.6716,0.45290336
Seychelles,SYC,87.0353,71.2481,1259.8136,1.3344184
Sierra Leone,SLE,19.2287,61.2748,150.9928,5.8044033
Singapore,SGP,95.9539,82.9211,6262.287,0.178661
Slovakia,SVK,89.0677,77.0356,3163.6772,0.5021511
Slovenia,SVN,88.9125,80.7933,4864.662,0.18622485
Solomon Islands,SLB,42.094,70.4086,130.13458,1.7024212
Somalia,SOM,27.6,53.9315,38.332718,8.992167
South Africa,ZAF,75.4556,65.4536,1290.7306,2.4528697
South Korea,KOR,97.1686,82.727,4868.6587,0.23698813
Spain,ESP,94.4855,82.3661,4916.078,0.260027
Sri Lanka,LKA,48.3,77.2996,549.14404,0.554459
Suriname,SUR,77.6494,73.2538,1137.6726,1.568525
Sweden,SWE,95.0097,83.046,7228.972,0.20441197
Switzerland,CHE,96.4528,83.2003,10574.841,0.34979123
Tajikistan,TJK,53.1078,71.5624,337.27597,2.3101075
Tanzania,TZA,22.101,66.8786,113.073875,3.1167932
Thailand,THA,87.9772,75.2913,1189.831,0.82817185
Togo,TGO,35.5105,62.2898,177.0579,3.6896677
Tonga,TON,57.7181,72.6353,521.1175,0.82329714
Trinidad and Tobago,TTO,84.4957,73.3308,1931.0928,1.7644864
Tunisia,TUN,70.5532,76.0505,1016.66974,1.1494956
Turkey,TUR,83.4372,77.5913,1413.4917,0.80134565
Tuvalu,TUV,73.5846,66.8516,1245.4253,1.7664738
Uganda,UGA,11.1246,67.6747,139.2572,2.8690393
United Arab Emirates,ARE,100.0,80.4868,3313.2666,0.41869155
United Kingdom,GBR,96.2989,81.0744,6496.9453,0.39455947
United States,USA,92.2016,77.9789,12586.196,0.54885364
Uruguay,URY,89.873,76.4682,2959.2478,0.564521
Uzbekistan,UZB,83.9,72.1465,681.06067,1.3147473
Vanuatu,VUT,45.6747,71.3016,140.1411,1.4433188
Vietnam,VNM,78.59,74.5025,633.40405,1.4278926
World,OWID_WRL,67.0,72.6398,1806.5927,2.7957463
Zambia,ZMB,15.0,65.2791,200.11812,3.219921
